β = 10,β = 20,β = 30,β = 40,β = 50,β = 60,β = 70,β = 80,β = 90
7.334753,14.779934,22.402429,30.277557,38.482239,47.08277,56.123589,65.600434,75.438985
7.346571,14.80713,22.44994,30.349107,38.571707,47.195236,56.245032,65.72085,75.552058
7.357341,14.832307,22.494716,30.417561,38.66802,47.30993,56.364806,65.839232,75.662117
7.367049,14.85534,22.536409,30.482199,38.755541,47.418342,56.484358,65.960129,75.776768
7.375694,14.876166,22.574803,30.542533,38.838287,47.520195,56.592572,66.067446,75.87548
7.3833,14.894795,22.60983,30.59834,38.915806,47.615122,56.698352,66.173627,75.974231
7.389913,14.911319,22.641571,30.649653,38.988013,47.703327,56.798237,66.274328,76.067907
7.395609,14.925757,22.670245,30.696734,39.056521,47.785459,56.89585,66.36997,76.157085
7.400498,14.938671,22.69618,30.740013,39.118502,47.862452,56.982975,66.462179,76.243614
7.404721,14.950181,22.719778,30.780022,39.176485,47.935353,57.067568,66.546447,76.321209
7.408447,14.956923,22.741473,30.817318,39.226937,48.005153,57.150306,66.636693,76.409631
7.41186,14.967039,22.756693,30.847308,39.279711,48.072653,57.231136,66.722871,76.493555
7.415147,14.976604,22.776723,30.881607,39.330188,48.138369,57.310751,66.809351,76.579404
7.418477,14.985871,22.795723,30.914082,39.378504,48.202501,57.389525,66.896647,76.667902
7.421986,14.995044,22.813876,30.94482,39.424629,48.264943,57.467495,66.98487,76.759322
7.425762,15.004261,22.831298,30.973831,39.468401,48.330486,57.54439,67.073749,76.853487
7.429841,15.013579,22.848028,31.00106,39.514922,48.389934,57.6197,67.162699,76.949828
7.434201,15.022978,22.864036,31.026412,39.554637,48.446545,57.690072,67.250926,77.047482
7.438772,15.032365,22.879231,31.054436,39.59136,48.499707,57.76174,67.337543,77.145411
7.44345,15.041591,22.893479,31.076526,39.624752,48.548899,57.829618,67.418345,77.242532
7.448109,15.050476,22.906618,31.095908,39.654574,48.593756,57.893092,67.50115,77.337829
7.452624,15.058836,22.918491,31.112776,39.68072,48.634104,57.951792,67.579557,77.427141
7.456889,15.066511,22.928966,31.127108,39.703229,48.669976,58.005611,67.653169,77.518206
7.460828,15.073387,22.937963,31.138992,39.722285,48.701587,58.054688,67.721901,77.604621
7.464411,15.079424,22.945482,31.14862,39.738194,48.72931,58.099359,67.785939,77.686316
7.467656,15.084658,22.951614,31.155597,39.751367,48.753629,58.140108,67.845681,77.763531
7.470624,15.089212,22.956552,31.161853,39.762286,48.775098,58.177498,67.901649,77.836724
7.473418,15.093284,22.960588,31.166992,39.771478,48.794295,58.212113,67.954415,77.906469
7.476168,15.097128,22.964091,31.16623,39.779484,48.811791,58.244514,68.004527,77.973348
7.479013,15.101033,22.967482,31.175409,39.786835,48.828123,58.275202,68.052455,78.037858
7.48209,15.105288,22.9712,31.179575,39.794027,48.843769,58.304594,68.098559,78.100355
7.485511,15.110153,22.975657,31.184352,39.801503,48.859145,58.333024,68.143079,78.161017
7.489356,15.115834,22.981202,31.190078,39.809638,48.874588,58.360736,68.186136,78.219844
7.493662,15.12246,22.988092,31.19823,39.82055,48.890355,58.387892,68.227751,78.27548
7.498421,15.130074,22.996468,31.206628,39.830946,48.906621,58.414577,68.267863,78.330761
7.503584,15.138631,23.006351,31.209838,39.842495,48.923469,58.440802,68.303851,78.383218
7.509065,15.148013,23.017644,31.222105,39.855201,48.940896,58.466512,68.341119,78.432481
7.514757,15.158039,23.030152,31.235962,39.8631,48.958806,58.488023,68.376192,78.478234
7.52054,15.168496,23.043609,31.251139,39.879937,48.974174,58.513196,68.408913,78.520244
7.526299,15.179157,23.057708,31.267287,39.897609,48.994143,58.537255,68.439128,78.553934
7.531931,15.18981,23.072137,31.284025,39.915713,49.013834,58.559925,68.465462,78.588317
7.537353,15.200274,23.086606,31.300976,39.933825,49.032844,58.580904,68.489835,78.619233
7.542511,15.21041,23.100878,31.317802,39.946999,49.050784,58.599903,68.511492,78.646808
7.547374,15.220133,23.11478,31.334238,39.962792,49.067325,58.616687,68.530434,78.67549
7.551936,15.229404,23.12821,31.350107,39.97821,49.077223,58.631112,68.546734,78.696337
7.556207,15.238226,23.141137,31.365328,39.992964,49.09007,58.643152,68.560535,78.714525
7.560212,15.246632,23.153581,31.379909,40.007016,49.101556,58.652914,68.572046,78.730465
7.563975,15.25467,23.165605,31.393929,40.020405,49.111802,58.660633,68.581529,78.74456
7.567523,15.262388,23.177281,31.407507,40.033232,49.121018,58.666654,68.58929,78.757182
7.57087,15.269821,23.188677,31.420776,40.045636,49.133555,58.671393,68.595654,78.768649
7.574024,15.276985,23.199835,31.43385,40.058058,49.140941,58.675302,68.599119,78.779217
7.576979,15.283867,23.210759,31.446804,40.070198,49.148185,58.678823,68.603019,78.789074
7.57972,15.290433,23.221412,31.459655,40.085073,49.155589,58.682351,68.606616,78.798353
7.582225,15.296627,23.231717,31.472362,40.096769,49.163366,58.686203,68.61019,78.807135
7.584471,15.30238,23.241568,31.484826,40.108607,49.171636,58.690604,68.613957,78.815466
7.586434,15.307623,23.250842,31.496913,40.120504,49.180423,58.695681,68.61806,78.823376
7.588098,15.312295,23.25942,31.508465,40.132325,49.189668,58.701468,68.622578,78.829374
7.589456,15.316353,23.267199,31.51933,40.143909,49.199258,58.707926,68.627535,78.836877
