α,β,L1,L2,L3
18.981582,-11.020474,16.666667,-7.178599,-9.488068
-76.003615,86.159401,-40.666667,51.511162,-10.844496
-53.461204,-84.232373,22,-53.147806,31.147806
-55.853595,17.257227,-35.333333,6.119323,29.214011
51.359717,6.989929,27.333333,5.386451,-32.719784
157.624693,103.233117,-30,64.65358,-34.65358
33.662564,-65.215366,32.666667,-40.582756,7.916089
-24.590833,28.651311,-24.666667,18.684373,5.982294
87.246995,80.602016,38,17.951501,-55.951501
-69.073305,-58.522055,-19.333333,-26.707467,46.040801
60.735842,-57.889147,43.333333,-27.440339,-15.892995
7.075773,45.384107,-14,31.249423,-17.249423
162.318221,-117.740235,48.666667,-73.409546,24.742879
-27.112525,-19.137256,-8.666667,-14.142417,22.809084
92.922064,-97.909129,54,-14.875289,-39.124711
66.946234,76.914619,-3.333333,44.39184,-41.058507
130.546037,-113.719902,59.333333,-60.267129,0.933795
0.012265,-0.048503,2.666667,-1.910701,-0.755966
-114.055163,101.469007,-54.666667,57.356428,-2.689761
-59.773849,-75.644311,8,-47.30254,39.30254
-79.467838,56.018019,-49.333333,11.964588,37.368745
32.082852,15.554259,13.333333,11.231717,-24.56505
-167.609676,113.052799,-44,69.921478,-25.921478
-0.303024,-51.659823,18.666667,-34.73749,16.070824
-51.276428,47.835691,-38.666667,24.529638,14.137028
71.413716,57.40273,24,23.796767,-47.796767
-85.668322,-77.95716,-33.333333,-20.862202,54.195535
35.412075,-38.658712,29.333333,-21.595073,-7.73826
-19.970258,57.935707,-28,37.094688,-9.094688
-177.957797,-105.071722,34.666667,-67.56428,32.897614
-45.781758,-12.071794,-22.666667,-8.297152,30.963818
63.068294,-29.245743,40,-9.030023,-30.969977
53.123993,80.12783,-17.333333,50.237105,-32.903772
123.68308,-103.841295,45.333333,-54.99923,9.665897
-11.476346,5.436339,-12,4.267898,7.732102
96.145465,143.649345,50.666667,3.535027,-54.201694
-74.536351,-76.609731,-6.666667,-41.123941,47.790608
79.651662,-80.015985,56,-41.856813,-14.143187
12.135576,20.632722,-1.333333,16.832948,-15.499615
-160.110835,127.637063,-58.666667,76.100077,-17.43341
-22.812256,-40.767103,4,-28.558891,24.558891
-81.104682,78.267342,-53.333333,30.708237,22.625096
54.93388,54.600046,9.333333,29.975366,-39.308699
-105.779242,-147.368843,-48,-14.683603,62.683603
8.56426,-20.434942,14.666667,-15.993841,1.327175
-59.192654,73.947433,-42,42.939954,-0.939954
-134.8778,-101.573899,20.666667,-61.719015,41.052348
-66.796995,-1.611965,-36.666667,-2.451886,39.118553
40.468036,-8.555763,26,-3.184758,-22.815242
-169.9721,92.84883,-31.333333,55.505004,-24.171671
