α = 10,α = 20,α = 30,α = 40,α = 50,α = 60,α = 70,α = 80,α = 90
1.912186,3.821166,5.729439,7.63911,9.551704,11.46864,13.392403,15.327541,17.280217
1.910636,3.818185,5.725303,7.634322,9.546917,11.464333,13.388447,15.323068,17.266664
1.909188,3.81532,5.721146,7.629223,9.541486,11.459203,13.383784,15.310228,17.258819
1.907852,3.812596,5.717004,7.623827,9.535334,11.453001,13.369021,15.302581,17.250139
1.906612,3.809999,5.712884,7.618158,9.528446,11.445583,13.361023,15.294052,17.240624
1.905442,3.807497,5.708785,7.612267,9.520899,11.436963,13.352266,15.284683,17.230341
1.904307,3.805053,5.704716,7.606251,9.51287,11.42733,13.351249,15.274616,17.219438
1.903184,3.802646,5.70071,7.600251,9.50463,11.417038,13.339585,15.264084,17.208139
1.902061,3.800276,5.696824,7.59444,9.49651,11.406561,13.327258,15.259827,17.204925
1.900946,3.797972,5.693141,7.58901,9.488867,11.396434,13.31492,15.2461,17.190608
1.899862,3.795785,5.689757,7.584145,9.482032,11.387176,13.30325,15.232698,17.176435
1.898848,3.793784,5.686771,7.579997,9.476269,11.379228,13.292864,15.220321,17.163046
1.897949,3.792042,5.684267,7.576667,9.471743,11.372889,13.284236,15.209556,17.150995
1.897208,3.790627,5.682305,7.574195,9.468507,11.368296,13.285511,15.208996,17.148102
1.896662,3.789588,5.680913,7.572561,9.466504,11.365418,13.281466,15.203602,17.14154
1.896335,3.788954,5.680087,7.571691,9.465585,11.364076,13.278716,15.199587,17.136266
1.896236,3.788728,5.679794,7.57148,9.465547,11.363994,13.269874,15.19691,17.132289
1.896357,3.788889,5.679983,7.571807,9.466169,11.36485,13.270437,15.195484,17.129596
1.896677,3.789399,5.680592,7.572562,9.467248,11.366332,13.27197,15.187696,17.12816
1.897166,3.79021,5.681562,7.573659,9.468631,11.368181,13.274132,15.189473,17.127949
1.897788,3.791269,5.682839,7.575043,9.470229,11.370229,13.276664,15.192,17.128923
1.898507,3.792523,5.684383,7.576695,9.472018,11.372401,13.279413,15.195081,17.123082
1.899291,3.793927,5.686163,7.57862,9.474031,11.374711,13.282327,15.198602,17.12664
1.90011,3.795441,5.688155,7.580837,9.476333,11.377237,13.285441,15.202527,17.131051
1.900943,3.797031,5.690337,7.583361,9.478997,11.380088,13.288842,15.206865,17.136257
1.901775,3.798668,5.692678,7.586194,9.482078,11.383368,13.292628,15.21164,17.142187
1.902592,3.800324,5.695141,7.589307,9.485589,11.387142,13.296876,15.216866,17.148742
1.903386,3.801971,5.697676,7.59264,9.489495,11.391416,13.301609,15.222515,17.155785
1.904148,3.80358,5.70022,7.596105,9.493703,11.396128,13.306788,15.228516,17.163143
1.904871,3.805121,5.702703,7.599589,9.498079,11.401149,13.312306,15.234747,17.170618
1.905547,3.806563,5.705054,7.602966,9.502453,11.406303,13.318005,15.241055,17.178004
1.906165,3.807878,5.707207,7.606116,9.506652,11.411386,13.323691,15.247267,17.185108
1.906717,3.809041,5.709107,7.608933,9.510508,11.416194,13.329164,15.253214,17.191766
1.907194,3.810035,5.710716,7.611338,9.513886,11.420545,13.334241,15.258749,17.197858
1.907592,3.810848,5.712014,7.613285,9.516694,11.424299,13.33877,15.263756,17.203309
1.907904,3.811478,5.713,7.614762,9.518883,11.427368,13.342644,15.268154,17.208085
1.908129,3.811929,5.713687,7.615784,9.520454,11.429715,13.345804,15.271898,17.212185
1.908269,3.812208,5.714102,7.616392,9.521442,11.43135,13.348229,15.27497,17.215625
